user_id,governorate,account_age_days,wallet_type,avg_monthly_p2p_transfers,avg_monthly_bill_payments,failed_trans_last_30d,days_since_last_txn,micro_loans_taken,loan_amount_egp,is_churned,is_defaulted,predicted_churn_prob
EG_WAL_10000,Cairo,80,Basic,7,6,0,3,6,5000,0,0,0
EG_WAL_10001,Asyut,100,Verified_Tier1,16,5,0,40,5,1000,0,0,0
EG_WAL_10002,Alexandria,509,Verified_Tier1,8,4,1,59,1,2500,1,0,1
EG_WAL_10003,Giza,589,Verified_Tier1,11,3,0,61,8,1000,1,0,1
EG_WAL_10004,Cairo,48,Verified_Tier1,14,5,0,10,1,1000,0,0,0
EG_WAL_10005,Cairo,113,Verified_Tier1,7,0,0,19,5,5000,0,0,0
EG_WAL_10006,Cairo,184,Verified_Tier1,13,4,2,89,0,0,1,0,1
EG_WAL_10007,Gharbia,594,Verified_Tier1,9,4,0,6,2,2500,0,0,0
EG_WAL_10008,Giza,648,Verified_Tier1,11,4,0,61,4,1000,1,0,1
EG_WAL_10009,Alexandria,386,Verified_Tier1,11,3,2,6,6,2500,0,0,0
EG_WAL_10010,Cairo,676,Basic,12,4,0,63,2,500,1,0,1
EG_WAL_10011,Asyut,472,Verified_Tier1,19,4,2,57,8,2500,1,0,1
EG_WAL_10012,Gharbia,98,Basic,10,5,0,3,3,1000,0,0,0
EG_WAL_10013,Cairo,552,Basic,16,0,1,71,8,1000,1,0,1
EG_WAL_10014,Cairo,172,Verified_Tier1,10,7,1,13,2,2500,0,0,0
EG_WAL_10015,Cairo,221,Basic,14,5,0,85,2,500,1,0,1
EG_WAL_10016,Cairo,416,Merchant,10,3,0,22,3,2500,0,0,0
EG_WAL_10017,Giza,407,Basic,20,2,0,88,1,500,1,0,1
EG_WAL_10018,Giza,610,Basic,6,2,0,35,4,5000,0,0,0
EG_WAL_10019,Cairo,564,Basic,19,8,0,89,8,500,1,0,1
EG_WAL_10020,Giza,322,Basic,11,9,0,23,7,5000,0,0,0
EG_WAL_10021,Cairo,38,Basic,16,1,2,81,7,500,1,0,0.99
EG_WAL_10022,Cairo,300,Basic,11,3,2,20,7,500,0,0,0
EG_WAL_10023,Cairo,416,Basic,17,5,0,62,7,500,1,0,1
EG_WAL_10024,Giza,122,Basic,9,5,0,46,5,5000,1,0,1
EG_WAL_10025,Alexandria,558,Basic,10,4,0,68,6,500,1,0,1
EG_WAL_10026,Cairo,183,Verified_Tier1,14,5,1,14,9,1000,0,0,0
EG_WAL_10027,Giza,434,Basic,18,3,0,30,4,500,0,0,0
EG_WAL_10028,Giza,178,Verified_Tier1,9,2,1,89,5,500,1,0,1
EG_WAL_10029,Cairo,296,Verified_Tier1,15,6,1,3,2,1000,0,0,0
EG_WAL_10030,Giza,451,Basic,18,7,0,3,4,500,0,0,0
EG_WAL_10031,Cairo,647,Verified_Tier1,7,6,0,43,9,1000,0,0,0
EG_WAL_10032,Cairo,501,Verified_Tier1,8,3,1,60,2,500,1,0,1
EG_WAL_10033,Asyut,576,Verified_Tier1,13,5,0,62,4,5000,1,0,1
EG_WAL_10034,Asyut,660,Basic,13,5,2,82,9,5000,1,0,1
EG_WAL_10035,Gharbia,555,Verified_Tier1,17,4,0,25,0,0,0,0,0
EG_WAL_10036,Cairo,532,Verified_Tier1,11,4,0,49,0,0,1,0,1
EG_WAL_10037,Cairo,43,Basic,12,4,0,32,9,2500,0,0,0
EG_WAL_10038,Alexandria,681,Basic,16,6,0,3,5,5000,0,0,0
EG_WAL_10039,Giza,393,Basic,16,5,3,56,7,5000,1,0,1
EG_WAL_10040,Cairo,148,Verified_Tier1,16,7,0,61,3,1000,1,0,1
EG_WAL_10041,Giza,267,Basic,9,1,0,87,6,2500,1,0,1
EG_WAL_10042,Cairo,575,Verified_Tier1,12,5,0,33,4,1000,0,0,0
EG_WAL_10043,Asyut,198,Basic,12,6,0,33,1,2500,0,0,0
EG_WAL_10044,Cairo,551,Verified_Tier1,14,8,1,1,4,2500,0,0,0
EG_WAL_10045,Alexandria,663,Basic,7,7,0,42,1,1000,0,0,0.01
EG_WAL_10046,Cairo,686,Basic,15,4,0,71,8,5000,1,0,1
EG_WAL_10047,Giza,545,Basic,16,6,0,48,0,0,1,0,1
EG_WAL_10048,Giza,426,Basic,8,5,0,20,2,2500,0,0,0
EG_WAL_10049,Cairo,135,Basic,13,3,0,11,0,0,0,0,0
EG_WAL_10050,Asyut,114,Basic,9,6,0,35,4,5000,0,0,0
EG_WAL_10051,Alexandria,243,Basic,12,12,0,0,3,2500,0,0,0.02
EG_WAL_10052,Asyut,150,Verified_Tier1,9,2,0,41,5,1000,0,0,0
EG_WAL_10053,Gharbia,161,Verified_Tier1,12,3,1,15,4,2500,0,0,0
EG_WAL_10054,Giza,226,Basic,17,6,0,48,6,1000,1,0,1
EG_WAL_10055,Asyut,48,Basic,10,3,1,5,6,500,0,0,0
EG_WAL_10056,Cairo,671,Basic,12,2,2,12,9,2500,0,0,0
EG_WAL_10057,Cairo,41,Verified_Tier1,12,7,0,44,4,500,0,0,0
EG_WAL_10058,Cairo,110,Basic,9,2,0,8,9,1000,0,0,0
EG_WAL_10059,Cairo,359,Basic,11,7,0,27,0,0,0,0,0
EG_WAL_10060,Cairo,421,Basic,12,5,0,63,8,500,1,0,1
EG_WAL_10061,Cairo,666,Verified_Tier1,15,1,1,33,1,1000,0,0,0
EG_WAL_10062,Gharbia,336,Basic,8,2,0,31,6,1000,0,0,0
EG_WAL_10063,Cairo,296,Verified_Tier1,3,4,0,64,2,500,1,0,1
EG_WAL_10064,Cairo,476,Basic,11,5,0,88,9,1000,1,0,1
EG_WAL_10065,Giza,470,Basic,14,6,0,51,5,5000,1,0,1
EG_WAL_10066,Cairo,681,Basic,17,5,0,73,4,1000,1,0,1
EG_WAL_10067,Gharbia,31,Basic,9,5,1,65,5,1000,1,0,0.96
EG_WAL_10068,Cairo,549,Basic,8,5,1,3,9,500,0,0,0
EG_WAL_10069,Asyut,680,Basic,12,5,0,24,4,5000,0,0,0
EG_WAL_10070,Alexandria,665,Basic,14,4,0,79,8,2500,1,0,0.99
EG_WAL_10071,Cairo,338,Basic,12,4,0,62,7,500,1,0,1
EG_WAL_10072,Cairo,551,Basic,14,3,0,39,0,0,0,0,0
EG_WAL_10073,Gharbia,498,Merchant,14,4,1,68,8,2500,1,0,1
EG_WAL_10074,Alexandria,241,Basic,8,3,0,55,1,2500,1,0,1
EG_WAL_10075,Alexandria,141,Verified_Tier1,7,2,0,22,4,5000,0,0,0
EG_WAL_10076,Alexandria,37,Basic,15,1,0,83,5,2500,1,0,1
EG_WAL_10077,Cairo,506,Basic,11,3,0,2,9,2500,0,0,0
EG_WAL_10078,Cairo,489,Basic,9,3,0,64,0,0,1,0,1
EG_WAL_10079,Cairo,282,Basic,10,6,0,50,6,5000,1,0,1
EG_WAL_10080,Gharbia,555,Basic,13,4,0,24,7,5000,0,0,0
EG_WAL_10081,Giza,467,Basic,9,2,1,79,0,0,1,0,1
EG_WAL_10082,Cairo,690,Verified_Tier1,10,2,1,40,9,5000,0,0,0
EG_WAL_10083,Cairo,265,Basic,10,1,3,4,3,500,0,0,0
EG_WAL_10084,Cairo,335,Basic,10,3,0,63,1,500,1,0,1
EG_WAL_10085,Cairo,507,Basic,15,4,0,5,4,5000,0,0,0
EG_WAL_10086,Alexandria,708,Basic,19,5,0,75,1,2500,1,0,0.99
EG_WAL_10087,Giza,49,Verified_Tier1,14,4,0,45,8,500,0,0,0
EG_WAL_10088,Gharbia,245,Basic,10,2,0,22,8,500,0,0,0
EG_WAL_10089,Giza,164,Basic,16,3,0,37,9,2500,0,0,0
EG_WAL_10090,Cairo,158,Basic,6,3,1,4,4,2500,0,0,0
EG_WAL_10091,Alexandria,439,Basic,14,3,1,60,4,1000,1,0,1
EG_WAL_10092,Alexandria,451,Verified_Tier1,10,6,0,1,3,1000,0,0,0
